Campus,Year,Session,Subject,Course,Section,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,85-89.1,90-100.1
UBCO,2021.0,W,ECON,340.0,101,34.0,74.97058824,9.882599628,95.0,55.0,0.0,0.0,3.0,2.0,2.0,4.0,7.0,4.0,6.0,5.0,1.0,15.0,43.0
UBCO,2021.0,W,ECON,340.0,OVERALL,70.0,72.98571429,11.84867492,95.0,42.0,3.0,3.0,3.0,3.0,7.0,9.0,11.0,10.0,10.0,7.0,4.0,14.0,17.0
UBCO,2021.0,W,ECON,345.0,1,45.0,63.57777778,12.42338135,86.0,41.0,7.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,0.0,7.0,
UBCO,2021.0,W,ECON,345.0,101,44.0,65.72727273,17.99400887,99.0,0.0,4.0,6.0,6.0,2.0,7.0,5.0,1.0,2.0,4.0,4.0,3.0,6.0,
UBCO,2021.0,W,ECON,345.0,OVERALL,89.0,64.64044944,15.38021692,99.0,0.0,11.0,11.0,11.0,7.0,11.0,10.0,6.0,6.0,8.0,5.0,3.0,,
UBCO,2021.0,W,ECON,351.0,101,37.0,72.10810811,12.48951512,93.0,29.0,2.0,0.0,0.0,4.0,3.0,6.0,7.0,7.0,3.0,3.0,2.0,,13.0
UBCO,2021.0,W,ECON,351.0,OVERALL,37.0,72.10810811,12.48951512,93.0,29.0,2.0,0.0,0.0,4.0,3.0,6.0,7.0,7.0,3.0,3.0,2.0,,
UBCO,2021.0,W,ECON,352.0,1,38.0,76.23684211,9.766003389,90.0,57.0,0.0,0.0,1.0,6.0,1.0,4.0,3.0,6.0,11.0,2.0,4.0,6.0,11.0
UBCO,2021.0,W,ECON,352.0,OVERALL,38.0,76.23684211,9.766003389,90.0,57.0,0.0,0.0,1.0,6.0,1.0,4.0,3.0,6.0,11.0,2.0,4.0,,
UBCO,2021.0,W,ECON,355.0,1,31.0,78.38709677,10.99902244,99.0,60.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,5.0,5.0,6.0,4.0,,
UBCO,2021.0,W,ECON,355.0,101,32.0,73.09375,19.79957539,100.0,0.0,2.0,1.0,0.0,2.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,10.0,
UBCO,2021.0,W,ECON,355.0,OVERALL,63.0,75.6984127,16.17608242,100.0,0.0,2.0,1.0,0.0,6.0,7.0,4.0,7.0,8.0,9.0,10.0,9.0,6.0,
UBCO,2021.0,W,ECON,356.0,1,22.0,76.45454546,13.00083247,98.0,50.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,,
UBCO,2021.0,W,ECON,356.0,101,20.0,75.65,22.11994813,99.0,20.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,8.0,,
UBCO,2021.0,W,ECON,356.0,OVERALL,42.0,76.07142857,17.70543923,99.0,20.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,3.0,5.0,4.0,12.0,,
UBCO,2021.0,W,ECON,360.0,1,29.0,70.4137931,14.77816256,92.0,36.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,6.0,4.0,3.0,2.0,,
UBCO,2021.0,W,ECON,360.0,101,36.0,72.83333333,12.38086081,94.0,44.0,1.0,2.0,4.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,,
UBCO,2021.0,W,ECON,360.0,OVERALL,65.0,71.75384615,13.44785156,94.0,36.0,3.0,5.0,6.0,2.0,6.0,6.0,5.0,11.0,9.0,7.0,5.0,,
UBCO,2021.0,W,ECON,370.0,101,36.0,68.63888889,17.14668277,90.0,16.0,4.0,1.0,2.0,2.0,2.0,4.0,6.0,7.0,3.0,3.0,2.0,,
UBCO,2021.0,W,ECON,370.0,OVERALL,36.0,68.63888889,17.14668277,90.0,16.0,4.0,1.0,2.0,2.0,2.0,4.0,6.0,7.0,3.0,3.0,2.0,,
UBCO,2021.0,W,ECON,371.0,1,29.0,73.93103448,10.39893894,93.0,50.0,0.0,2.0,1.0,2.0,1.0,1.0,5.0,8.0,6.0,1.0,2.0,,
UBCO,2021.0,W,ECON,371.0,OVERALL,29.0,73.93103448,10.39893894,93.0,50.0,0.0,2.0,1.0,2.0,1.0,1.0,5.0,8.0,6.0,1.0,2.0,,
UBCO,2021.0,W,ECON,372.0,101,24.0,68.66666667,14.8986917,96.0,28.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,0.0,1.0,2.0,,
UBCO,2021.0,W,ECON,372.0,OVERALL,24.0,68.66666667,14.8986917,96.0,28.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,0.0,1.0,2.0,,
UBCO,2021.0,W,ECON,386.0,1,19.0,65.57894737,13.6027603,92.0,46.0,4.0,0.0,0.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,
UBCO,2021.0,W,ECON,386.0,OVERALL,19.0,65.57894737,13.6027603,92.0,46.0,4.0,0.0,0.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,
UBCO,2021.0,W,ECON,391.0,1,40.0,80.4,14.71576862,99.0,40.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,7.0,1.0,9.0,13.0,,
UBCO,2021.0,W,ECON,391.0,OVERALL,40.0,80.4,14.71576862,99.0,40.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,7.0,1.0,9.0,13.0,,
UBCO,2021.0,W,ECON,391.0,101,19.0,68.47368421,13.66409903,94.0,50.0,0.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,,
UBCO,2021.0,W,ECON,391.0,OVERALL,19.0,68.47368421,13.66409903,94.0,50.0,0.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,,
UBCO,2021.0,W,ECON,391.0,101,14.0,77.78571429,25.81644846,100.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,,
UBCO,2021.0,W,ECON,391.0,OVERALL,14.0,77.78571429,25.81644846,100.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,,
UBCO,2021.0,W,ECON,391.0,101,22.0,74.27272727,12.78459571,96.0,35.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,,
UBCO,2021.0,W,ECON,391.0,OVERALL,22.0,74.27272727,12.78459571,96.0,35.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,,
UBCO,2021.0,W,ECON,391.0,1,18.0,75.72222222,9.675959023,98.0,62.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,,
UBCO,2021.0,W,ECON,391.0,OVERALL,18.0,75.72222222,9.675959023,98.0,62.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,,
UBCO,2021.0,W,ECON,391.0,101,29.0,69.93103448,18.56442649,88.0,0.0,2.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0,4.0,8.0,0.0,,
UBCO,2021.0,W,ECON,391.0,OVERALL,29.0,69.93103448,18.56442649,88.0,0.0,2.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0,4.0,8.0,0.0,,
UBCO,2021.0,W,ECON,402.0,1,7.0,83.71428571,17.6985337,99.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,,
UBCO,2021.0,W,ECON,402.0,OVERALL,7.0,83.71428571,17.6985337,99.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,,
UBCO,2021.0,W,ECON,427.0,101,11.0,71.63636364,23.66969678,94.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,,
UBCO,2021.0,W,ECON,427.0,OVERALL,11.0,71.63636364,23.66969678,94.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,,
UBCO,2021.0,W,PHIL,111.0,1,58.0,69.74137931,10.6648469,87.0,42.0,2.0,3.0,6.0,5.0,8.0,7.0,7.0,10.0,6.0,4.0,0.0,,
UBCO,2021.0,W,PHIL,111.0,2,61.0,78.65573771,11.97620592,97.0,42.0,1.0,2.0,0.0,5.0,2.0,7.0,5.0,5.0,9.0,14.0,11.0,,
UBCO,2021.0,W,PHIL,111.0,3,67.0,69.6119403,13.63590984,93.0,0.0,3.0,0.0,1.0,5.0,9.0,16.0,19.0,4.0,6.0,3.0,1.0,,
UBCO,2021.0,W,PHIL,111.0,102,60.0,77.66666667,15.8912263,94.0,0.0,3.0,0.0,0.0,4.0,4.0,6.0,4.0,5.0,9.0,14.0,11.0,,
UBCO,2021.0,W,PHIL,111.0,OVERALL,246.0,73.8495935,13.80999859,97.0,0.0,9.0,5.0,7.0,19.0,23.0,36.0,35.0,24.0,30.0,35.0,23.0,,
UBCO,2021.0,W,PHIL,120.0,1,115.0,72.12173913,17.2866178,100.0,1.0,11.0,5.0,6.0,6.0,10.0,13.0,11.0,15.0,16.0,5.0,17.0,,
UBCO,2021.0,W,PHIL,120.0,2,125.0,85.656,9.181067476,99.0,50.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,13.0,16.0,29.0,52.0,,
UBCO,2021.0,W,PHIL,120.0,101,114.0,71.10526316,19.64389541,100.0,2.0,10.0,10.0,3.0,5.0,14.0,12.0,11.0,12.0,7.0,10.0,20.0,,
UBCO,2021.0,W,PHIL,120.0,OVERALL,354.0,76.57344633,17.17454061,100.0,1.0,21.0,17.0,11.0,11.0,26.0,27.0,29.0,40.0,39.0,44.0,89.0,,
UBCO,2021.0,W,PHIL,121.0,1,55.0,71.07272727,14.16680333,90.0,0.0,1.0,6.0,1.0,3.0,3.0,8.0,8.0,7.0,14.0,2.0,2.0,,
UBCO,2021.0,W,PHIL,121.0,101,54.0,68.85185185,19.73638285,93.0,0.0,6.0,1.0,3.0,6.0,4.0,4.0,8.0,2.0,9.0,7.0,4.0,,
UBCO,2021.0,W,PHIL,121.0,OVERALL,109.0,69.97247706,17.10991629,93.0,0.0,7.0,7.0,4.0,9.0,7.0,12.0,16.0,9.0,23.0,9.0,6.0,,
UBCO,2021.0,W,PHIL,210.0,101,30.0,73.53333333,12.72448992,87.0,15.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,8.0,2.0,0.0,,
UBCO,2021.0,W,PHIL,210.0,OVERALL,30.0,73.53333333,12.72448992,87.0,15.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,8.0,2.0,0.0,,
